N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
730,2,85,132,17,8.5507,4.9658,-6954.3082
1021,6,123,157,28,8.5083,4.8071,-9663.7032
1234,10,214,163,26,8.6207,4.8306,-12935.941
1354,6,226,196,20,8.5739,5.7157,-15154.346
1715,9,256,224,41,8.6204,5.3475,-21126.162
2022,11,287,301,46,8.6568,5.5163,-26083.728
238,0,17,38,0,8.1975,1.3319,-1401.3113
230,0,30,35,1,8.3478,1.8,-1427.9532
464,2,108,68,9,8.5065,5.1918,-3743.1719
576,1,105,85,12,8.4792,4.9948,-4722.5938
683,1,100,104,27,8.5022,5.1186,-5936.7616
829,5,137,106,17,8.3957,5.3908,-7358.8924
980,5,197,144,23,8.5469,5.4163,-9380.5254
1503,6,197,215,27,8.5017,4.481,-13938.433
1669,9,251,219,37,8.5674,5.3913,-17611.259
1702,16,222,255,48,8.6157,5.6622,-19602.558
330,0,14,51,0,8.3576,0.8545,-1988.9345
339,0,7,54,1,8.236,0.6814,-2126.506
429,0,54,78,4,8.5012,3.042,-3368.9364
513,0,67,86,8,8.6101,4.232,-4284.9037
581,2,91,99,16,8.5198,5.074,-5218.0764
627,1,112,145,9,8.63,6.2743,-5718.0775
813,4,130,165,10,8.5744,5.6064,-7175.0806
956,1,167,190,18,8.6705,5.7113,-8695.0518
1354,2,219,222,36,8.4993,5.4343,-12001.489
1627,5,263,201,42,8.5427,4.7886,-17180.909
219,0,23,30,1,8.2694,1.8311,-1291.303
222,0,17,34,1,8.3559,1.5045,-1322.2299
322,0,54,68,4,8.4814,3.7391,-2324.4611
445,1,60,95,19,8.4112,6.0337,-3528.9089
482,8,42,75,28,8.2365,6.2095,-4027.3575
523,1,54,75,26,8.325,6.6023,-4447.0721
625,4,72,86,16,8.3744,5.8464,-5428.2745
995,2,153,154,35,8.4814,5.8734,-8698.5297
1096,10,158,141,49,8.3732,6.1807,-10084.705
1417,6,218,194,47,8.451,6.2534,-13290.266
143,0,24,44,4,7.9441,7.5175,-833.70909
137,6,39,26,16,7.9708,7.1095,-844.51605
145,0,27,35,7,8.0276,6.7241,-855.42299
147,0,62,34,14,8.0476,7.517,-877.42885
148,2,27,20,10,7.9662,6.973,-882.77812
150,0,39,31,0,8.1933,4.3267,-905.31363
142,0,51,45,0,8.2394,5.3732,-915.32647
144,19,48,1,29,7.7778,7.7083,-923.60481
152,2,51,21,13,8.0921,6.9145,-952.82346
159,2,34,34,3,8.1761,5.5157,-966.48015
156,5,54,25,12,8.109,7.0321,-974.25003
167,0,33,33,7,8.1018,6.2994,-987.77025
182,0,66,42,1,8.1703,7.1868,-1010.7493
182,0,65,59,0,8.2747,7.3462,-1020.2534
173,0,63,28,2,8.1676,7.7977,-1061.3079
174,0,68,21,5,8.1264,7.9483,-1067.6884
