N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
867,3,77,142,18,8.4867,4.8304,-8844.5264
1173,7,159,165,29,8.4425,5.1176,-12406.996
1554,13,188,225,26,8.6049,5.1023,-18186.211
1918,12,211,208,53,8.5318,5.0537,-24674.107
2109,8,294,249,57,8.5742,5.4576,-29454.955
2441,8,282,306,47,8.5981,5.4568,-37426.62
2542,23,264,319,63,8.5924,5.7191,-42562.914
2514,39,285,306,82,8.6245,6.1285,-46010.093
459,0,24,58,5,8.6187,0.9695,-4061.43
456,0,51,58,4,8.614,1.6776,-4111.6714
721,3,95,109,14,8.5784,5.1345,-7228.079
978,5,151,164,17,8.592,5.2556,-9995.8211
1139,4,194,182,24,8.6216,5.7524,-12920.409
1338,13,209,141,37,8.5112,5.7257,-15733.53
1655,10,221,193,39,8.4997,5.7934,-20527.952
2050,19,259,251,52,8.5068,5.5063,-27397.627
2253,14,307,269,73,8.5291,5.9685,-32366.131
2411,26,293,268,75,8.5276,6.083,-36242.116
412,0,15,39,0,8.5485,0.5194,-3296.177
399,0,19,41,4,8.5464,0.8622,-3352.3812
602,0,73,92,3,8.593,3.1578,-5514.4061
727,5,149,103,16,8.5557,5.5791,-7302.7114
942,11,150,127,20,8.5138,5.8992,-9842.0039
1163,9,142,145,22,8.5365,5.0911,-12569.943
1491,15,172,217,36,8.4963,5.104,-16269.001
1785,10,279,261,50,8.5317,5.7434,-21424.769
2145,18,282,273,61,8.5632,5.7566,-26604.569
2349,16,300,280,74,8.5879,5.5492,-31504.88
352,0,20,48,2,8.5426,0.5909,-2664.211
351,0,20,43,3,8.51,0.9801,-2714.393
527,0,69,94,2,8.6698,2.74,-4715.5617
638,5,150,89,13,8.5972,5.3448,-5996.8065
718,1,142,101,12,8.6281,5.3663,-7062.4544
973,2,155,164,19,8.5015,5.222,-9378.0212
1230,8,187,187,28,8.5455,5.2179,-12265.927
1431,16,181,207,36,8.5276,5.7764,-15492.342
1855,9,239,220,36,8.5461,5.1633,-21684.236
2044,17,256,291,41,8.6057,5.3762,-25961.618
304,0,14,46,0,8.3684,0.625,-1911.2024
340,0,11,52,1,8.3735,0.5588,-2090.5599
460,1,56,72,3,8.6457,1.6391,-3863.7179
510,0,96,76,5,8.649,3.402,-4645.8745
647,0,120,113,2,8.643,3.8053,-6021.3134
927,2,165,164,11,8.5642,4.3765,-8703.8981
1195,5,170,183,21,8.6762,4.0201,-13081.402
1374,4,178,198,13,8.6426,4.4352,-16375.801
1486,10,210,201,38,8.6131,5.9233,-18581.108
1594,17,259,181,38,8.5188,6.4166,-20522.752
249,0,12,34,0,8.3213,0.988,-1610.7525
247,0,22,35,2,8.417,1.3441,-1642.2458
371,2,69,49,18,8.3288,5.5633,-2819.9015
517,4,54,58,18,8.4275,4.47,-4210.5334
679,5,91,107,24,8.3932,5.3108,-5578.2061
814,10,146,145,14,8.543,6.1794,-7359.2343
869,6,153,146,29,8.5754,5.8458,-8151.6174
1116,7,161,169,27,8.5323,5.4973,-10584.595
1244,16,201,193,24,8.5627,5.4357,-12048.016
1396,16,234,198,35,8.5638,5.7787,-14423.926
253,0,7,35,1,8.2609,0.6403,-1447.6191
249,0,16,49,0,8.3976,0.9036,-1485.1349
376,0,47,73,1,8.5559,2.0931,-2706.5359
421,0,85,68,5,8.5273,5.0475,-3532.0097
516,3,99,89,16,8.3837,6.0911,-4329.9615
582,3,118,71,23,8.3814,6.4605,-5099.7256
754,6,144,101,17,8.4523,5.3355,-6479.6324
952,3,209,175,12,8.5588,6.1292,-8875.4675
1199,5,185,188,28,8.4937,5.7098,-11040.942
1502,8,218,232,39,8.482,5.5892,-14213.4
584,0,129,113,2,8.6832,4.4229,-5896.6685
605,0,96,64,8,8.4645,3.005,-6048.7957
1256,5,238,118,23,8.621,5.0852,-17273.374
1858,11,191,212,33,8.5893,4.9429,-27092.745
2413,7,192,239,48,8.581,4.3083,-40538.248
2547,43,268,311,76,8.7051,5.6321,-50117.167
2599,50,291,334,85,8.7026,6.3563,-51648.328
2621,52,302,329,106,8.7032,6.1129,-52396.251
2622,59,316,337,103,8.7086,6.3375,-52863.672
2617,87,317,343,93,8.7092,6.3015,-53105.822
571,2,75,60,5,8.6462,1.8004,-5668.2582
587,0,56,64,2,8.5707,1.4276,-5756.7092
1241,9,125,163,27,8.581,5.6124,-16146.587
1829,14,174,231,41,8.4675,5.2887,-24470.476
2386,24,222,247,73,8.4505,5.5398,-37168.123
2577,34,322,277,99,8.5173,6.6368,-46614.61
2622,33,377,316,85,8.5721,6.9725,-49843.48
2640,37,427,304,129,8.5765,7.1788,-51306.074
2646,44,394,320,128,8.5945,7.2026,-51988.177
2683,43,438,358,123,8.606,7.2866,-52401.079
540,0,78,73,0,8.6963,1.8704,-5276.1254
546,1,60,76,3,8.5879,1.848,-5320.5408
1000,2,134,131,21,8.658,4.559,-11509.495
1263,7,193,151,16,8.6508,5.1093,-15659.722
1759,12,190,239,37,8.6225,4.5958,-22956.326
2220,17,223,277,43,8.6171,5.2144,-32654.107
2505,26,304,306,64,8.6535,5.9449,-40266.451
2591,27,355,331,71,8.6816,6.3365,-46298.179
2633,22,352,425,66,8.7395,6.8116,-49111.511
2641,20,318,407,97,8.7069,6.8349,-50667.441
515,0,32,78,3,8.5786,1.0466,-4814.6743
523,1,50,80,0,8.6711,1.1778,-4861.6206
937,4,122,138,15,8.5731,4.4312,-9418.1523
1130,14,118,143,32,8.4549,5.5655,-12715.239
1428,12,151,164,51,8.5091,5.5308,-16982.284
2096,17,227,273,46,8.5076,4.6093,-24765.816
2314,17,242,278,72,8.5432,5.277,-29858.989
2625,27,385,304,69,8.5116,5.8259,-36768.634
2621,49,346,283,106,8.5341,6.4498,-41978.081
2652,38,306,275,91,8.569,6.3247,-45738.122
458,0,23,47,2,8.4869,0.8384,-4013.4261
490,0,30,56,0,8.5224,1.0837,-4175.0722
688,0,125,99,4,8.7224,3.4782,-6974.0061
905,6,136,120,17,8.6475,4.8873,-9648.8693
1133,17,187,120,38,8.4422,5.3372,-12591.402
1451,8,205,213,39,8.5899,5.9008,-16936.42
1781,25,231,216,50,8.5357,5.7047,-22187.931
2131,26,314,253,60,8.5495,6.1558,-28410.791
2322,15,355,238,83,8.5082,6.3824,-33259.254
2487,27,357,339,63,8.5159,6.7736,-37810.432
402,0,18,68,0,8.5473,1.0473,-3184.1453
393,2,47,40,1,8.5267,1.598,-3264.6535
628,3,63,78,22,8.3758,5.1115,-5753.4417
777,3,81,91,34,8.3835,5.7516,-7713.6363
1036,9,105,122,20,8.5425,5.029,-10744.614
1335,16,115,161,50,8.4592,5.1221,-13977.278
1555,12,158,192,42,8.5061,5.3395,-17637.546
1773,17,231,209,42,8.4506,5.8105,-21660.274
2211,12,244,289,60,8.5138,6.095,-27609.104
2430,22,259,271,80,8.4568,6.0765,-31861.394
365,0,4,42,3,8.4192,0.4384,-2726.2305
365,0,17,48,2,8.4849,0.7945,-2786.0692
486,0,109,74,3,8.6296,4.0206,-4182.2524
610,0,105,121,9,8.5443,4.618,-5285.0708
831,0,195,126,16,8.6065,5.3249,-7853.6022
945,10,185,119,23,8.5672,5.5545,-9662.8621
1299,12,207,179,45,8.5781,5.4057,-13946.522
1691,14,255,223,33,8.5358,5.7292,-18539.011
1780,17,286,247,59,8.5303,6.4421,-21034.825
2205,25,324,271,40,8.5429,5.6118,-27003.242
336,0,8,43,3,8.2292,0.8125,-2089.2342
329,0,22,49,3,8.3708,1.2462,-2142.2714
444,0,81,71,0,8.5833,2.6464,-3667.3481
480,0,142,64,6,8.6125,5.6688,-4331.3147
602,2,145,90,11,8.6279,5.299,-5595.7419
722,4,112,131,16,8.5429,5.5097,-6844.5239
1101,2,136,131,24,8.535,4.4741,-11056.968
1267,6,213,168,33,8.5643,5.7695,-13386.412
1535,9,236,212,47,8.5505,6.0658,-16586.486
1917,11,296,233,51,8.5556,5.567,-21373.213
279,0,9,30,1,8.2366,0.6452,-1882.2509
279,0,21,31,3,8.3978,0.9462,-1914.9235
425,0,89,56,3,8.5482,3.1929,-3578.0561
495,3,109,69,7,8.5152,5.0485,-4223.0669
597,8,79,67,14,8.3702,4.7353,-5249.237
640,6,93,108,18,8.5281,5.4406,-5965.9332
864,11,130,132,27,8.4965,4.6736,-7991.9941
894,7,148,129,30,8.5526,5.9038,-9332.1625
1020,6,156,160,30,8.5441,5.3225,-10574.028
1320,7,225,183,33,8.5674,5.3492,-14306.014
254,0,5,32,0,8.189,0.5512,-1539.1802
248,0,10,28,0,8.2137,0.6129,-1586.5564
378,0,65,49,6,8.254,3.9021,-2750.9692
436,2,79,67,6,8.4381,4.7615,-3388.8682
487,4,76,94,10,8.4579,5.2382,-4101.1272
664,5,86,100,15,8.366,4.6551,-5721.8379
683,0,129,105,11,8.4641,5.6559,-6303.8351
919,11,171,123,25,8.5332,5.8444,-9297.9132
1007,11,209,164,28,8.5641,6.2214,-10285.73
1382,8,224,185,37,8.5412,5.3155,-14050.921
139,1,30,29,5,8.1511,5.4964,-820.94224
141,4,32,21,5,8.0922,6.0496,-828.88694
143,0,37,39,0,8.2168,3.8741,-842.71461
147,0,62,32,12,8.1429,6.9728,-865.24228
147,0,44,30,2,8.2653,4.8027,-871.33829
151,0,50,44,0,8.3642,5.0596,-895.09071
150,0,39,36,0,8.28,3.6733,-900.43538
150,0,46,40,0,8.3667,3.7267,-906.5732
153,2,47,22,7,8.0915,5.7124,-936.84175
155,0,36,41,1,8.2645,3.5032,-953.77549
153,1,52,28,6,8.2288,6.3268,-958.09539
157,0,39,45,1,8.2548,4.1975,-978.21853
170,0,81,48,1,8.4706,6.6412,-1000.6076
176,0,58,53,0,8.2841,5.6648,-1002.2417
168,1,74,19,6,8.1131,7.6012,-1045.164
170,1,72,26,6,8.1824,7.1294,-1053.4653
162,0,58,47,0,8.2654,5.1358,-1087.4029
174,0,51,41,0,8.2989,4.1092,-1093.076
171,0,50,41,0,8.2924,4.4327,-1112.3243
172,4,65,28,4,8.1744,6.5698,-1121.5186
182,0,70,52,6,8.2692,6.8187,-1138.7104
180,0,50,46,1,8.2889,3.7722,-1147.2688
182,0,55,38,1,8.2692,4.8077,-1171.3467
184,2,38,43,3,8.3315,5.3533,-1167.3532
192,0,114,50,0,8.276,7.8906,-1189.9717
184,2,55,33,0,8.2935,4.6685,-1195.9035
198,0,117,59,0,8.3081,7.7374,-1210.6842
187,0,60,51,2,8.3155,6.1551,-1212.8979
190,0,54,51,0,8.3316,4.3,-1214.7357
198,1,99,48,2,8.3081,6.9798,-1238.2058
192,1,58,45,1,8.349,4.401,-1280.114
194,5,49,29,9,8.2062,6.232,-1294.5863
200,0,46,51,8,8.27,5.705,-1296.4009
207,0,81,49,11,8.2705,7.256,-1340.445
207,0,104,35,8,8.3285,6.7729,-1353.9985
225,0,112,54,3,8.2711,6.7956,-1351.7898
203,2,62,33,6,8.2562,6.7291,-1364.6414
197,19,65,28,19,8.1015,7.1523,-1378.6791
213,0,99,25,11,8.2629,6.6479,-1388.1179
203,2,66,28,7,8.2759,6.3153,-1386.5913
207,3,48,31,9,8.2415,6.1111,-1387.817
208,2,72,36,6,8.2404,7.1202,-1407.8507
204,18,96,16,18,8.1127,7.8725,-1432.5621
209,2,60,47,5,8.3158,5.1435,-1444.0999
217,1,36,35,12,8.2581,5.5945,-1473.3927
217,2,43,47,4,8.3226,6.1198,-1473.1799
216,4,88,20,10,8.213,7.0417,-1498.1615
224,1,38,45,12,8.317,5.3884,-1497.0059
241,0,90,50,2,8.4274,6.0332,-1512.1861
218,5,88,24,9,8.2339,6.5688,-1516.1495
222,0,99,55,6,8.3559,7.0315,-1540.6537
222,3,36,37,10,8.2432,6.2568,-1540.9944
225,3,41,47,9,8.2444,6.2667,-1561.9102
227,0,82,56,1,8.4978,5.5507,-1566.1222
230,2,39,45,14,8.2043,6.2739,-1584.3627
233,0,76,59,5,8.4635,6.3777,-1603.9305
254,0,123,46,5,8.3583,7.4921,-1608.0001
236,5,45,54,14,8.2542,6.8602,-1612.0831
236,1,89,43,9,8.3008,6.6229,-1623.5574
234,0,61,34,11,8.2137,6.406,-1625.8093
222,18,66,27,14,8.2162,6.8423,-1633.4492
252,0,164,66,0,8.381,8.0595,-1716.3733
237,13,103,29,17,8.27,7.3797,-1718.6748
235,1,63,43,2,8.366,4.6851,-1719.6254
258,0,163,75,0,8.3953,7.8411,-1735.0945
246,1,60,45,9,8.2683,6.065,-1757.4669
250,2,105,39,5,8.372,6.596,-1769.908
249,1,89,47,1,8.4458,5.0683,-1771.9001
253,1,39,56,11,8.332,5.3399,-1774.2306
259,2,107,45,3,8.3552,7.3977,-1797.2184
253,3,33,51,5,8.3518,5.5099,-1804.3431
272,0,145,56,2,8.3456,7.6213,-1820.3118
252,7,117,52,9,8.373,7.3929,-1852.2481
262,0,142,56,5,8.4237,7.5153,-1868.5574
260,15,69,37,20,8.1808,6.2154,-1877.2579
264,0,77,78,4,8.4735,6.7538,-1906.9355
261,2,81,34,11,8.341,6.7203,-1913.4966
265,4,42,41,13,8.2302,6.5623,-1913.823
262,21,50,54,19,8.1908,6.5802,-1952.2198
272,0,145,70,2,8.4191,7.4265,-1962.3076
277,0,152,33,20,8.3682,7.4801,-1989.8812
252,0,117,50,0,8.4286,5.9008,-1997.9147
256,0,103,44,0,8.4219,5.2578,-1998.646
277,2,96,61,8,8.3538,6.8159,-2021.3476
286,0,155,39,16,8.3636,7.1993,-2028.1542
292,0,73,75,5,8.4144,7.2534,-2061.1504
267,18,106,37,10,8.2884,7.2809,-2085.0403
280,3,113,41,5,8.4214,6.9679,-2090.2155
280,8,140,38,8,8.3429,7.7607,-2113.0257
323,0,178,65,7,8.418,7.0124,-2119.9285
299,2,66,78,14,8.3746,7.0669,-2143.5547
282,9,116,50,10,8.3262,7.5177,-2164.2545
322,0,171,74,0,8.5062,7.4969,-2168.3562
298,1,57,60,16,8.3389,6.5604,-2171.662
285,0,105,42,1,8.4211,5.1298,-2182.1983
297,5,110,65,5,8.4242,7.165,-2193.8958
299,2,68,65,10,8.3043,6.8763,-2193.6117
293,4,58,48,11,8.2662,6.744,-2218.2229
295,0,102,55,2,8.5254,4.8712,-2283.163
297,7,151,51,9,8.4141,7.5993,-2307.8109
307,0,160,73,11,8.4397,7.6547,-2312.6192
299,0,117,56,0,8.5151,5.2542,-2325.8844
301,4,70,40,12,8.3023,6.0465,-2348.1661
320,0,221,80,0,8.4969,8.2156,-2378.3413
318,2,144,56,7,8.4119,7.3679,-2373.7058
302,2,124,56,4,8.457,5.9801,-2375.9495
326,0,218,92,1,8.4448,8.1595,-2398.2909
317,0,183,69,5,8.4795,7.6782,-2416.696
357,0,157,74,2,8.4874,7.0924,-2412.2282
313,16,71,40,17,8.3003,7.3482,-2431.8875
313,8,93,50,10,8.361,6.9872,-2437.5168
297,34,106,37,17,8.2694,7.266,-2458.1266
321,3,48,71,18,8.3614,6.3707,-2448.3292
314,12,152,39,18,8.3471,7.4363,-2487.6727
319,17,49,53,14,8.326,6.2947,-2520.4999
324,3,155,46,4,8.4259,6.963,-2542.4917
317,12,111,41,16,8.3596,6.4479,-2543.7042
322,15,54,41,19,8.264,7.2453,-2542.8568
347,2,168,68,10,8.4813,7.8732,-2561.6134
326,0,112,47,14,8.4018,7.4448,-2593.5501
326,9,61,51,14,8.3344,6.6135,-2588.765
330,14,47,75,14,8.3091,6.703,-2607.6949
345,3,99,62,17,8.3565,7.4,-2628.8265
342,0,180,68,14,8.4854,7.8012,-2660.5089
342,0,205,58,14,8.462,7.7836,-2670.7599
347,0,118,158,1,8.4669,8.0144,-2669.219
332,15,64,58,6,8.3313,6.4669,-2700.9443
332,14,164,53,12,8.4127,7.5572,-2750.5207
349,1,134,72,12,8.404,7.1032,-2783.3614
357,0,213,43,20,8.4538,7.7115,-2800.649
357,1,146,91,4,8.493,7.4958,-2810.2305
364,0,210,44,20,8.4478,7.6429,-2830.1648
337,51,91,48,18,8.184,7.3858,-2876.8225
348,12,215,39,15,8.3908,8.0805,-2897.6987
345,17,97,54,23,8.3536,6.4783,-2907.0548
357,4,201,73,13,8.4734,7.7843,-2917.7822
362,7,72,44,19,8.2652,7.0138,-2918.1663
352,42,115,8,34,8.1903,6.9631,-2924.2312
336,67,118,9,44,8.125,7.8423,-2964.9825
375,2,105,83,6,8.44,7.4853,-2957.7144
372,0,219,94,0,8.5565,7.7796,-2987.2716
384,0,91,109,5,8.4375,7.776,-2979.5655
407,0,212,99,0,8.5627,7.3415,-2985.4287
381,0,88,111,9,8.4304,7.3885,-2997.0866
371,5,50,66,18,8.2965,6.8922,-3003.3388
383,0,84,111,8,8.3734,7.4804,-2995.106
364,9,83,50,22,8.3242,6.9423,-3012.7708
374,10,157,50,11,8.3743,7.2567,-3032.1486
364,9,161,51,12,8.467,6.9396,-3057.2154
392,0,106,101,8,8.4541,7.5867,-3061.828
379,5,114,65,22,8.3588,7.0343,-3071.5133
385,4,78,85,14,8.3948,6.7636,-3066.1424
389,0,96,100,2,8.4344,7.5219,-3085.5857
375,0,128,74,0,8.68,5.6347,-3090.9942
371,1,132,66,7,8.5984,6.6361,-3132.5469
424,0,263,43,22,8.5142,7.7335,-3124.9163
396,0,279,84,2,8.5354,8.2652,-3183.2265
367,18,173,52,20,8.4087,7.594,-3196.2909
402,0,278,103,0,8.5697,8.4055,-3206.3099
376,42,38,67,19,8.2261,6.1676,-3213.2955
382,14,214,52,13,8.445,7.6702,-3261.9969
362,0,201,40,0,8.558,6.6657,-3324.3596
387,12,147,29,29,8.323,7.4677,-3336.4962
401,0,129,48,14,8.3641,7.7307,-3353.8816
406,5,90,92,8,8.4286,6.5468,-3374.3866
397,5,223,72,4,8.529,7.5945,-3416.1021
397,15,217,38,18,8.4156,7.6599,-3446.2021
400,16,56,98,21,8.4075,7.5875,-3442.7571
398,0,185,62,0,8.6206,5.4598,-3452.6287
382,43,156,46,25,8.322,7.6152,-3486.0734
470,0,229,75,7,8.4957,7.3021,-3463.621
398,3,143,79,8,8.5427,5.6935,-3486.1909
411,8,217,54,11,8.4769,7.3869,-3496.7992
417,0,244,100,1,8.6067,7.9089,-3519.0025
397,1,153,69,5,8.5819,5.5592,-3514.2997
409,7,75,77,14,8.3472,7.1711,-3531.9221
421,5,44,76,27,8.3848,6.7245,-3531.7936
414,14,78,84,12,8.3502,7.4855,-3554.5204
404,23,161,46,16,8.4233,6.8936,-3572.359
389,69,61,42,12,8.2442,6.1748,-3567.0517
431,0,160,192,2,8.5128,8.1763,-3596.8957
423,14,78,178,4,8.4303,7.8298,-3627.201
402,30,181,59,21,8.3955,7.6045,-3641.7168
433,3,103,133,15,8.4827,7.7875,-3643.5956
432,0,267,63,8,8.5208,7.9583,-3659.1284
423,3,133,89,1,8.5863,5.9291,-3679.5743
427,3,203,47,17,8.4684,7.6276,-3710.8254
437,4,193,116,6,8.5103,8.0343,-3712.5881
418,12,94,32,36,8.3493,7.2081,-3747.2124
427,2,157,70,5,8.5527,5.6417,-3762.6894
416,25,99,35,22,8.3293,7.524,-3782.1117
447,0,279,48,15,8.5391,7.8367,-3789.369
450,0,218,133,2,8.5556,8.0333,-3794.2318
429,16,119,91,7,8.4685,6.7692,-3791.4786
453,0,282,49,18,8.521,7.6998,-3825.7951
422,20,227,59,13,8.4953,7.5924,-3858.1832
433,15,272,54,15,8.4873,8.1848,-3878.6873
435,1,167,59,6,8.5747,5.4138,-3862.327
426,26,124,54,10,8.3568,6.993,-3888.8169
438,12,236,77,12,8.5388,7.8653,-3904.7259
438,0,160,74,4,8.605,5.7808,-3907.6832
452,4,192,77,5,8.6416,6.7035,-3942.8106
417,66,152,42,25,8.2854,7.5588,-3984.4491
428,51,147,91,13,8.3201,7.6939,-3980.7952
502,0,306,97,0,8.6713,8.0219,-4002.446
476,0,112,152,7,8.542,7.6261,-4011.5698
474,0,115,155,6,8.481,7.8312,-4016.4534
472,1,85,121,4,8.4195,7.5763,-4029.4988
462,0,275,99,7,8.5801,7.9762,-4060.4906
452,6,263,82,7,8.5686,7.8982,-4074.9623
479,0,71,159,18,8.4739,7.6367,-4059.9876
437,41,195,54,19,8.405,7.7437,-4079.6424
437,36,224,30,12,8.405,7.7826,-4084.4963
440,28,168,52,13,8.4318,6.8318,-4090.9162
428,73,198,16,33,8.2547,7.9252,-4113.1606
473,2,132,74,20,8.4376,7.6195,-4122.902
471,4,136,95,5,8.465,7.6008,-4140.547
480,0,357,102,0,8.6312,8.4167,-4156.5975
483,5,121,123,13,8.472,7.6253,-4134.7605
456,11,216,61,12,8.5132,7.1469,-4159.6663
486,0,351,111,1,8.6296,8.3683,-4175.5571
472,0,302,89,5,8.6398,8.0424,-4182.8845
479,6,96,118,21,8.428,7.5574,-4166.3927
482,0,153,128,7,8.4647,7.8402,-4192.7582
482,0,153,128,7,8.4647,7.8402,-4192.7582
452,26,194,51,13,8.4646,6.9801,-4196.5524
482,7,114,86,26,8.4544,7.529,-4228.1397
467,38,61,71,30,8.2934,7.0407,-4231.0625
461,11,71,64,31,8.3449,7.1497,-4228.424
473,53,180,24,44,8.2812,7.0211,-4275.5636
478,10,89,58,38,8.3201,7.2092,-4326.4062
484,13,54,76,27,8.3616,6.6426,-4336.7255
477,13,258,82,21,8.5388,7.7799,-4410.7656
477,13,285,47,16,8.5346,7.8721,-4419.9052
494,29,175,68,11,8.4433,6.7773,-4407.3832
548,0,370,28,30,8.5347,7.8558,-4393.7132
462,24,232,54,17,8.474,7.7489,-4446.3463
454,61,149,38,27,8.326,7.5044,-4481.1908
479,55,47,90,27,8.2505,7.1441,-4490.615
477,65,70,50,33,8.2725,6.891,-4538.2366
506,0,192,79,12,8.5435,7.6838,-4563.0601
507,0,309,115,7,8.6154,7.931,-4596.8058
501,0,214,65,23,8.497,7.9281,-4593.4932
487,55,64,98,28,8.2587,7.2464,-4581.4165
507,0,326,80,4,8.5897,7.9349,-4605.2604
486,26,165,69,13,8.4342,6.8045,-4606.601
531,0,191,151,19,8.548,7.8851,-4598.3411
505,8,113,109,14,8.4594,7.5485,-4611.5331
504,13,284,50,20,8.5079,7.506,-4651.5953
520,0,221,217,2,8.5865,8.2404,-4702.003
497,18,296,77,12,8.5594,7.9718,-4742.4765
511,3,86,73,38,8.3914,7.18,-4736.0205
620,0,346,107,4,8.6597,7.2968,-4777.3147
536,1,239,181,5,8.6138,8.0056,-4811.4199
499,42,218,51,9,8.4389,7.0321,-4822.4084
521,17,113,190,12,8.4549,7.8983,-4830.238
532,0,342,75,17,8.6053,8.0094,-4857.0039
522,1,322,105,5,8.613,7.8621,-4904.998
517,19,281,88,20,8.5455,7.9536,-4911.1814
493,92,92,84,12,8.2515,7.3976,-4895.3511
525,4,193,81,7,8.5905,6.0762,-4943.6461
537,0,352,124,0,8.6425,8.1471,-4977.8348
533,4,168,109,32,8.5066,7.8349,-4963.9103
547,0,361,57,34,8.5667,7.9762,-4984.7807
547,3,246,125,7,8.5667,7.7495,-4988.8003
524,19,365,63,13,8.5706,8.2863,-5016.8829
554,0,360,53,23,8.5487,7.8863,-5019.1501
502,50,240,68,24,8.4382,7.6693,-5039.9132
545,3,140,101,17,8.5431,7.5486,-5023.8169
544,0,123,87,18,8.489,7.4614,-5048.5494
503,96,116,58,18,8.2604,7.2028,-5074.5313
524,72,144,39,24,8.3302,6.9427,-5080.919
521,75,120,77,16,8.3167,6.7428,-5115.3015
553,0,335,97,14,8.6203,8.1429,-5128.2967
492,0,288,69,0,8.6077,7.061,-5123.1416
549,27,68,158,10,8.4335,7.5592,-5109.3053
539,14,91,85,50,8.3506,7.2282,-5116.3581
550,10,60,99,29,8.4509,7.02,-5121.6739
522,26,288,59,14,8.5287,7.8257,-5181.7118
605,0,384,101,2,8.676,7.8678,-5213.9266
575,0,151,205,3,8.5687,7.8087,-5224.696
576,0,157,197,13,8.5503,8.0469,-5250.4579
527,53,214,121,15,8.4156,8.0816,-5276.8318
572,0,431,110,0,8.6311,8.4913,-5304.7203
535,27,205,45,11,8.4318,7.7607,-5305.6525
578,0,436,130,0,8.6592,8.519,-5329.0187
547,13,124,49,45,8.4497,7.0457,-5312.1506
517,67,214,43,32,8.3752,7.5513,-5385.4688
542,22,310,80,11,8.5627,7.952,-5403.2904
537,48,293,41,28,8.4488,7.8845,-5412.9578
588,0,85,217,15,8.5187,7.7313,-5399.0203
589,2,110,173,11,8.5076,7.6859,-5415.9621
557,11,351,67,8,8.5889,7.9659,-5452.0086
528,58,281,29,30,8.4148,8.0341,-5453.7122
557,29,288,53,26,8.4596,7.6804,-5493.9016
546,41,217,62,19,8.4615,7.1978,-5490.1392
593,5,124,176,20,8.4992,7.7875,-5506.8431
593,0,130,156,13,8.5059,7.8314,-5508.0732
578,2,119,95,7,8.4792,7.6678,-5527.0884
580,2,129,113,18,8.5,7.6672,-5551.5205
584,1,209,96,18,8.5377,7.7277,-5576.6862
583,0,383,120,4,8.6244,8.1166,-5602.4832
554,59,85,86,5,8.4368,6.0162,-5586.5777
572,6,362,95,11,8.6259,7.9178,-5622.1253
543,55,254,60,38,8.4788,7.7753,-5628.7604
563,1,253,80,10,8.6643,6.5187,-5618.5028
597,0,369,126,18,8.6432,8.1307,-5658.6795
592,0,387,128,5,8.6706,8.2432,-5734.9638
570,15,183,62,11,8.514,6.0404,-5731.4094
570,56,126,68,34,8.3281,7.5509,-5739.2236
582,15,365,61,19,8.5979,7.9089,-5805.5098
578,1,239,97,2,8.6678,6.1903,-5804.078
585,30,83,90,35,8.4274,7.1521,-5817.8591
612,6,48,107,37,8.4641,6.9624,-5898.9388
567,49,303,57,24,8.4921,7.7972,-5943.4493
593,2,248,92,7,8.6492,6.1079,-5917.3225
636,0,229,194,6,8.5755,8.0299,-5927.6327
583,6,145,36,61,8.4117,7.6484,-5930.7765
602,68,267,21,45,8.3837,7.4219,-5954.1018
597,26,363,55,26,8.536,7.7822,-5982.2371
603,54,76,253,3,8.4643,8.0282,-5995.9901
617,0,417,77,19,8.6402,8.1442,-6027.5789
557,90,227,44,26,8.4004,7.5206,-6035.3357
612,16,370,61,26,8.5654,7.6748,-6040.3761
602,12,202,87,17,8.598,5.9618,-6018.4353
587,31,336,83,24,8.5247,7.9165,-6074.7119
624,1,162,139,28,8.5513,7.6522,-6080.2817
636,3,296,220,2,8.6116,7.9403,-6116.1842
610,2,192,94,7,8.6082,6.4295,-6092.3313
615,8,215,90,8,8.639,6.0325,-6103.9634
627,2,154,110,23,8.4737,7.4976,-6131.8529
591,49,238,78,11,8.4805,7.1692,-6153.6587
599,62,119,138,20,8.379,7.5576,-6178.959
583,69,291,36,33,8.4477,7.5815,-6233.6306
629,17,165,275,5,8.5501,8.0795,-6252.8914
643,0,447,65,28,8.633,8.1664,-6280.7649
607,25,371,87,19,8.5717,8.1516,-6312.1701
604,40,283,62,17,8.4967,7.2864,-6313.7786
622,11,388,103,10,8.6286,8.1768,-6353.9327
916,0,657,60,23,8.7074,8.1452,-10032.356
624,22,452,72,7,8.6026,8.4183,-6366.3375
605,72,114,82,31,8.362,7.395,-6356.9227
657,0,453,51,29,8.6393,8.0076,-6399.1512
667,3,201,223,14,8.5892,7.7841,-6391.5434
768,0,456,116,6,8.6641,7.4831,-6395.2758
665,0,446,50,19,8.6556,7.7925,-6434.0051
647,0,426,123,7,8.7017,8.2566,-6488.1567
637,8,426,101,13,8.6358,8.1617,-6529.5757
608,105,149,146,14,8.3421,7.9375,-6536.3268
627,10,108,64,66,8.4179,7.4067,-6552.9425
643,12,110,74,70,8.4121,7.4479,-6555.5786
656,0,171,122,33,8.5046,7.8384,-6574.0745
654,3,228,98,40,8.552,7.8578,-6616.6413
657,0,447,117,2,8.6941,8.1963,-6642.5144
672,0,517,127,0,8.6875,8.4673,-6651.1634
