N_bulk,Avg_bulk,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,FCC,HCP,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14
5675,12.1771,22,246,4167,1169,68,0,1968,458,15,10.8164,90,73,53,39,57,57,82,115,207,196,297,595,3256,542,16
7477,12.1242,17,270,5990,1153,42,2,3009,718,21,11.2633,18,26,43,44,46,59,79,111,254,223,330,655,4968,612,9
8689,12.1058,21,262,7232,1121,51,1,3916,825,35,11.3379,14,25,57,41,39,55,82,125,315,207,289,721,6103,609,7
9608,12.1039,19,251,8096,1199,41,2,4355,947,33,11.3626,22,28,49,47,49,59,78,117,350,221,318,748,6863,652,7
640,12.1609,25,122,259,177,52,2,0,0,0,0.7891,356,165,67,29,10,6,3,2,1,1,0,0,0,0,0
654,12.1667,24,117,287,172,48,4,1,0,0,1.2446,310,158,77,47,25,10,7,8,5,3,0,2,2,0,0
1340,12.2172,33,245,554,403,93,7,4,1,0,1.5604,595,312,151,72,64,46,34,18,19,13,5,7,3,1,0
1754,12.4949,11,83,817,712,127,2,184,55,0,10.2161,42,28,30,24,34,36,42,48,83,120,150,220,524,319,54
2415,12.2886,11,108,1543,676,74,2,583,164,5,10.323,64,40,28,29,38,44,53,68,111,108,173,255,1086,298,20
2962,12.1989,5,101,2207,592,56,0,968,329,9,10.8174,34,22,22,29,24,32,52,84,148,101,145,289,1741,228,11
4109,12.1287,25,236,3087,694,61,3,1398,434,23,10.1266,150,80,72,74,61,56,73,95,215,160,181,385,2262,242,3
5680,12.1551,21,231,4336,999,81,4,1942,626,40,10.6021,67,50,88,56,99,69,93,144,334,214,281,524,3254,399,8
6788,12.1413,15,208,5434,1068,60,3,2495,864,50,10.9697,42,33,73,62,58,73,68,129,338,228,318,647,4225,480,14
7837,12.1314,15,255,6313,1192,57,4,2958,963,43,10.9539,59,54,72,80,60,68,86,149,393,265,332,750,4937,522,10
512,12.1895,16,103,195,162,32,3,0,0,0,0.7422,291,126,49,33,9,3,1,0,0,0,0,0,0,0,0
524,12.3302,9,95,191,172,51,5,0,0,0,0.9179,274,146,53,17,16,6,4,4,4,0,0,0,0,0,0
980,12.2082,19,184,424,280,67,5,0,1,1,0.7908,535,250,123,34,24,7,3,4,0,0,0,0,0,0,0
1302,12.3111,17,147,618,446,70,2,75,37,1,6.4869,130,81,87,81,74,77,85,97,101,108,105,102,139,32,3
1717,12.4997,5,77,827,668,137,2,193,50,0,10.3896,33,25,19,20,33,36,51,50,75,102,130,209,562,321,51
2179,12.4768,8,114,1027,879,145,3,310,45,0,10.643,66,37,22,17,27,30,42,52,70,101,138,259,738,489,91
2915,12.4079,14,162,1509,1073,153,2,383,147,0,10.1091,135,69,47,44,38,56,59,76,98,141,196,334,995,550,77
3934,12.4113,19,170,2169,1324,248,3,716,242,0,11.0841,39,25,30,46,40,43,65,77,116,149,259,424,1680,779,162
4642,12.1814,15,195,3429,940,62,1,1634,347,0,11.0937,40,35,23,27,24,43,61,83,130,165,265,534,2740,460,12
5723,12.148,14,182,4534,931,60,2,2255,552,3,11.2216,63,27,40,35,33,43,46,79,120,147,257,527,3800,501,5
414,12.2101,14,85,155,116,36,6,0,0,0,0.5725,254,106,37,13,2,2,0,0,0,0,0,0,0,0,0
423,12.2459,7,80,174,127,34,1,0,0,0,0.7281,223,134,41,14,5,6,0,0,0,0,0,0,0,0,0
771,12.2944,15,112,338,241,61,3,10,4,2,2.7147,242,162,91,60,32,34,34,25,27,18,14,16,11,4,1
1036,12.4672,1,32,544,401,57,1,173,66,1,10.9672,12,10,4,3,9,14,19,30,35,64,71,106,419,215,25
1350,12.1585,8,75,996,239,30,2,421,129,6,9.8615,57,28,27,18,26,27,25,34,77,69,84,137,667,74,0
1651,12.1629,4,44,1311,258,33,0,615,168,7,10.9836,21,5,18,11,10,9,21,18,84,61,83,173,1017,115,5
2115,12.1584,3,75,1640,375,19,2,805,211,6,11.0936,15,12,16,14,16,19,28,28,87,66,96,208,1317,190,3
2928,12.1612,7,106,2261,518,34,2,1059,333,13,10.6356,50,36,38,39,39,31,44,68,126,107,132,253,1759,205,1
3553,12.1404,8,110,2860,527,46,2,1339,457,17,10.3999,156,81,54,30,30,25,22,66,141,106,143,269,2229,200,1
4721,12.1762,11,184,3561,893,71,1,1563,544,27,10.5459,56,57,75,61,50,82,86,124,246,221,229,404,2685,338,7
271,12.1808,8,52,110,79,16,4,0,0,0,0.7565,157,76,20,5,2,5,2,3,1,0,0,0,0,0,0
280,12.2571,9,41,123,84,22,1,0,0,0,0.5964,167,75,26,8,4,0,0,0,0,0,0,0,0,0,0
656,12.2744,15,107,274,205,53,2,4,2,2,1.9634,272,131,75,48,30,29,17,12,14,6,9,3,8,1,1
851,12.5899,1,28,378,358,84,2,98,32,1,10.1081,23,8,19,22,24,13,22,33,40,47,66,79,263,150,42
1281,12.3396,4,77,740,403,54,3,186,89,3,8.3216,71,56,39,51,49,42,74,74,91,88,105,136,330,71,4
1548,12.2674,5,85,988,426,43,0,269,129,10,9.5601,40,21,31,32,36,46,63,85,109,99,113,227,522,117,7
2059,12.2351,6,109,1386,512,45,1,474,218,14,9.8179,43,46,47,48,40,41,50,90,143,113,138,204,884,165,7
2577,12.2953,3,80,1725,692,76,1,695,208,9,11.0241,11,13,16,20,20,28,34,57,128,118,154,300,1292,353,33
3138,12.2263,14,127,2206,720,68,3,927,297,10,10.384,82,47,43,45,43,57,44,82,150,129,168,329,1612,280,27
3741,12.201,10,138,2758,752,78,3,1197,405,14,10.567,75,35,60,37,47,52,71,76,184,149,196,379,2046,311,23
157,12.4076,4,21,57,57,18,0,0,1,0,0.9682,84,38,15,10,4,2,2,1,0,1,0,0,0,0,0
198,12.3182,11,28,71,68,15,5,0,0,0,0.5657,123,56,12,3,1,1,1,0,1,0,0,0,0,0,0
487,12.3285,10,68,206,162,37,4,4,1,1,2.6283,154,108,43,37,26,30,14,26,18,11,10,8,2,0,0
695,12.2417,7,41,445,178,21,2,149,87,0,9.718,42,22,16,10,4,9,11,25,23,24,56,90,303,58,2
878,12.2039,7,52,596,194,24,3,234,82,0,10.3235,26,26,7,12,10,8,10,22,32,39,63,103,439,78,3
1115,12.1955,1,47,817,234,15,1,385,86,0,10.6404,36,14,9,18,12,12,16,19,21,34,53,123,642,104,2
1339,12.174,3,45,1031,233,23,3,536,101,0,11.3271,9,7,6,3,10,8,10,21,23,38,61,131,886,121,5
1591,12.186,3,50,1210,304,24,0,551,130,0,10.9617,19,9,15,15,19,13,21,33,33,55,96,147,988,126,2
1880,12.1904,0,68,1413,373,25,1,680,155,1,11.2489,9,10,11,18,13,14,13,24,47,64,81,187,1184,203,2
2513,12.162,12,136,1848,470,44,3,862,242,0,10.0306,101,84,51,43,44,52,37,37,71,70,128,219,1404,168,4
171,12.1287,5,42,63,48,13,0,0,0,2,0.6199,106,42,13,3,6,1,0,0,0,0,0,0,0,0,0
177,12.3616,8,16,74,59,17,2,0,0,1,0.7571,92,54,17,10,4,0,0,0,0,0,0,0,0,0,0
447,12.2774,12,62,192,140,35,3,0,1,0,1.217,232,103,33,31,21,4,9,4,2,3,3,1,1,0,0
644,12.2842,13,102,256,226,44,1,7,5,0,2.3711,243,122,66,56,29,29,22,20,13,11,13,7,7,6,0
775,12.3832,7,51,400,273,43,1,59,50,4,8.0994,47,30,34,25,23,36,34,52,62,71,75,103,136,44,3
906,12.5309,5,34,415,379,73,0,118,25,0,10.6369,6,7,12,12,16,18,18,22,51,50,73,123,288,183,27
1343,12.3135,7,108,750,413,65,0,200,84,2,9.0499,80,47,55,41,36,41,43,43,53,64,79,138,459,146,18
1875,12.2432,3,67,1318,440,46,0,477,241,1,10.8613,23,16,25,19,23,38,31,42,37,61,80,178,1061,229,12
2473,12.152,14,120,1843,467,24,4,922,131,1,10.7194,69,47,20,26,16,26,31,48,51,70,117,230,1498,222,2
2834,12.1429,4,98,2255,445,30,2,1219,213,0,11.4457,15,13,16,7,9,21,24,31,37,76,100,206,2008,267,4
94,12.5,0,12,34,38,9,1,0,2,0,2.734,22,17,14,15,8,3,2,4,3,4,2,0,0,0,0
95,12.1684,6,14,40,29,5,1,0,0,0,0.8632,52,23,8,6,5,1,0,0,0,0,0,0,0,0,0
96,12.25,0,20,36,36,4,0,0,0,0,1.1562,40,33,11,4,2,3,0,3,0,0,0,0,0,0,0
102,12.3235,3,10,48,33,8,0,0,7,2,3.4314,14,15,20,14,9,6,5,7,6,3,0,3,0,0,0
101,12.3564,2,16,40,30,13,0,0,0,0,0.604,63,22,11,3,2,0,0,0,0,0,0,0,0,0,0
108,12.5463,0,12,40,43,11,2,1,8,0,2.7963,32,22,11,6,6,8,5,8,5,2,1,2,0,0,0
108,12.5833,0,7,41,51,8,1,2,1,0,3.9167,7,20,17,12,9,15,8,4,7,4,3,0,2,0,0
105,12.4381,4,10,42,36,12,0,0,0,0,0.419,75,22,4,3,0,1,0,0,0,0,0,0,0,0,0
113,12.469,1,14,47,33,18,0,0,0,0,0.6991,66,29,13,2,1,0,1,0,1,0,0,0,0,0,0
114,12.6228,1,7,44,46,14,2,0,0,0,1.9649,37,19,20,15,10,5,4,3,0,0,1,0,0,0,0
115,12.4348,1,11,52,40,10,1,0,0,1,1.5913,41,22,24,11,13,1,1,1,0,0,1,0,0,0,0
118,12.322,0,14,61,34,9,0,2,1,0,3.6695,20,18,15,10,12,9,11,7,8,3,1,2,2,0,0
122,12.3934,4,15,47,42,13,1,2,3,0,2.7541,37,19,10,13,12,7,8,8,3,3,2,0,0,0,0
126,12.3413,0,14,67,33,12,0,2,8,4,4.1032,23,23,6,14,9,6,6,14,8,9,2,0,4,1,1
129,12.5349,0,3,69,44,11,2,18,5,0,10.4729,1,1,2,1,1,5,3,3,9,6,8,23,43,22,1
129,12.4341,3,4,61,56,5,0,25,0,0,10.9922,1,2,2,3,1,1,2,2,3,4,9,12,47,38,2
141,12.4468,0,0,85,49,7,0,3,26,8,4.4043,8,13,23,21,18,12,11,11,11,5,1,3,4,0,0
138,12.3188,2,22,56,47,10,1,1,1,0,1.587,48,33,27,11,6,5,6,2,0,0,0,0,0,0,0
144,12.4375,0,5,82,47,9,1,3,16,8,3.7014,25,24,16,14,11,7,19,10,7,1,5,3,2,0,0
141,12.2553,0,10,90,36,5,0,22,17,1,9.6454,1,4,3,2,1,0,6,7,13,16,14,25,45,4,0
143,12.2937,0,4,97,38,4,0,19,17,4,9.2937,1,2,5,5,3,2,2,14,23,7,9,20,37,13,0
150,12.2533,1,18,82,42,5,2,1,14,6,3.4067,33,21,17,15,18,8,9,8,11,5,2,0,3,0,0
150,12.46,0,4,82,56,7,1,17,17,0,9.3533,1,2,2,2,5,6,7,9,18,14,16,21,37,9,1
149,12.2215,3,29,60,47,9,1,0,0,0,1.8255,53,32,19,16,11,8,5,1,3,1,0,0,0,0,0
146,12.3973,0,4,83,56,3,0,48,0,0,12.0616,0,0,0,0,1,0,0,1,0,1,1,15,86,40,1
159,12.3522,1,13,81,57,7,0,4,12,1,5.2642,16,19,11,6,13,13,24,12,14,7,11,8,5,0,0
151,12.2119,0,6,109,34,2,0,71,3,0,11.9735,0,0,0,0,0,0,0,0,1,1,3,16,105,25,0
157,12.4076,2,12,73,61,8,1,1,6,1,3.9682,41,19,13,13,7,9,13,9,9,4,9,5,6,0,0
160,12.3812,1,12,82,58,5,1,3,12,1,4.0875,36,25,9,6,19,12,6,10,10,11,6,8,2,0,0
161,12.4161,0,4,97,49,11,0,24,21,0,10.1615,2,2,1,2,1,6,4,5,12,10,14,35,51,14,2
171,12.3684,1,15,85,60,10,0,3,14,7,4.3567,21,29,13,22,16,7,9,23,6,6,8,5,5,1,0
168,12.5,3,10,71,68,16,0,1,7,0,4.3512,20,32,16,12,19,8,12,11,13,9,3,6,6,1,0
173,12.4162,2,11,88,59,11,2,4,11,4,3.7861,37,19,17,12,21,16,17,11,5,8,2,5,3,0,0
172,12.3081,0,3,118,46,5,0,25,35,3,10.1686,0,2,2,5,0,1,5,7,22,11,11,29,61,16,0
172,12.4593,0,5,91,68,8,0,16,16,2,9.4244,1,3,3,3,4,6,11,10,18,13,18,20,47,14,1
158,12.3987,0,5,90,59,3,1,28,14,0,10.5253,4,4,0,2,2,1,3,3,4,9,10,24,72,20,0
184,12.3641,1,13,97,65,7,1,29,3,0,9.5543,4,4,1,5,7,4,6,4,15,13,23,29,58,11,0
188,12.367,1,4,116,59,8,0,28,25,2,9.7287,0,2,4,4,4,5,4,10,19,17,20,32,56,11,0
174,12.3563,0,4,112,50,8,0,27,28,3,10.2126,1,3,2,1,2,4,1,9,21,9,12,26,65,17,1
189,12.3122,0,4,130,48,6,1,48,13,0,11.2487,0,1,2,1,1,1,0,2,6,9,10,36,91,28,1
190,12.4316,1,18,79,82,10,0,9,11,2,5.3105,9,26,16,17,12,15,17,23,22,10,11,6,6,0,0
189,12.4233,0,14,93,70,12,0,26,0,0,9.3704,6,2,6,7,5,3,10,10,11,11,13,29,55,19,2
195,12.3641,0,3,123,64,5,0,58,8,0,11.5949,0,0,0,0,1,1,0,3,2,8,14,22,112,31,1
197,12.269,0,2,144,47,4,0,39,24,3,9.8528,0,4,4,0,5,2,3,13,24,15,14,38,70,5,0
201,12.3134,2,19,107,61,11,1,6,18,3,5.6368,10,16,13,26,14,19,23,20,24,7,9,6,10,3,1
202,12.4356,1,15,95,79,10,2,8,13,2,5.4455,20,22,14,16,13,16,21,16,19,11,8,13,11,2,0
206,12.4466,3,11,100,76,15,1,5,12,2,4.7136,31,23,18,15,19,15,15,17,16,13,10,7,6,1,0
206,12.5583,2,10,84,93,15,2,16,6,0,8.9029,10,6,3,6,5,9,4,16,18,15,16,31,50,15,2
191,12.4293,0,6,109,64,12,0,16,13,0,9.4974,3,3,4,2,3,4,7,19,11,16,28,30,47,12,2
212,12.2594,0,10,145,49,8,0,59,6,0,11.1415,1,1,1,0,0,3,1,4,8,12,20,21,115,23,2
212,12.3396,0,3,138,67,4,0,37,43,3,10.7736,0,0,3,2,2,0,4,9,16,12,13,30,92,29,0
216,12.2917,4,21,112,66,13,0,8,8,1,5.2083,24,27,13,21,11,15,24,18,15,10,18,11,8,1,0
211,12.4265,2,18,95,80,16,0,6,8,0,5.2938,27,15,24,13,16,16,18,20,15,11,8,15,11,1,1
219,12.3562,1,16,114,75,12,0,5,9,2,5.3562,14,22,17,19,23,19,25,23,17,10,7,11,11,1,0
223,12.3543,2,20,113,74,13,1,4,12,4,5.0179,14,27,27,16,29,13,19,21,21,9,7,11,9,0,0
224,12.3705,1,18,111,85,9,0,4,7,2,5.433,18,18,18,15,24,20,28,24,15,12,9,11,9,3,0
214,12.2477,0,7,150,54,3,0,58,24,0,11.2523,0,0,3,0,1,0,2,4,5,9,15,33,122,20,0
229,12.3581,1,23,112,79,14,0,8,12,3,6.3144,18,6,20,14,22,19,17,18,23,18,18,16,15,5,0
226,12.323,0,6,148,65,7,0,73,0,0,11.5265,0,1,0,0,3,1,3,3,6,8,11,16,124,46,4
229,12.4541,1,13,112,88,14,1,9,17,4,6.3755,10,21,11,19,18,13,20,20,28,18,14,14,17,5,1
229,12.3362,0,9,141,72,7,0,31,34,6,9.4803,2,0,5,6,4,7,6,13,33,18,29,36,58,11,1
231,12.2684,0,2,170,54,5,0,119,0,0,12.1991,0,0,0,0,0,0,0,1,0,0,1,4,173,47,5
238,12.3067,0,6,160,66,5,1,46,28,4,9.2899,4,4,5,7,5,7,8,12,29,21,25,27,71,13,0
246,12.2805,1,7,167,65,5,1,44,29,0,10.0163,2,3,2,5,3,4,5,8,28,19,30,30,92,15,0
239,12.251,1,8,163,64,3,0,82,11,0,11.113,2,1,2,1,1,3,3,3,9,7,14,28,138,27,0
253,12.6482,0,18,83,123,28,1,5,1,0,8.2292,6,7,10,10,10,18,19,16,16,28,28,32,35,15,3
247,12.2591,0,7,173,63,4,0,47,34,2,10.0769,1,1,7,3,1,2,4,18,22,23,18,39,95,13,0
255,12.2941,2,16,152,75,10,0,19,32,8,5.9843,17,20,26,14,21,16,21,21,31,16,15,12,24,1,0
252,12.5317,0,18,108,101,24,1,11,10,0,8.0913,15,6,11,7,11,4,18,20,26,19,35,31,32,14,3
257,12.3891,1,6,154,85,10,1,77,6,0,10.7743,1,1,3,4,2,2,4,8,8,17,21,36,122,27,1
259,12.2819,0,20,159,67,13,0,17,33,9,6.1081,27,16,18,16,25,15,11,18,37,16,17,13,28,2,0
260,12.2654,1,10,172,73,4,0,73,8,0,11.0731,2,0,2,0,0,1,4,6,17,13,17,34,125,39,0
265,12.2566,0,10,183,67,4,1,52,25,2,10.0642,1,5,5,1,2,6,5,17,26,14,24,43,94,21,1
260,12.3385,0,3,174,76,6,1,47,40,3,10.85,0,2,3,1,2,3,2,6,24,15,9,32,130,30,1
266,12.5977,1,14,108,113,28,2,6,2,0,7.5677,8,20,13,13,14,19,16,19,14,28,19,27,35,17,4
278,12.3561,0,6,178,83,11,0,85,10,0,10.7158,2,3,2,3,2,7,4,7,8,11,20,56,123,28,2
278,12.2158,6,25,158,81,8,0,18,33,8,5.5647,31,27,24,27,19,16,10,23,26,18,14,16,23,4,0
276,12.3225,0,11,173,84,8,0,48,34,2,10.221,1,2,3,1,6,6,8,13,24,17,22,49,101,21,2
291,12.3918,1,11,172,88,18,1,18,38,12,5.6186,31,18,26,30,30,12,17,19,41,12,13,10,32,0,0
278,12.2662,0,7,195,71,5,0,58,39,5,10.5899,1,3,4,2,2,1,1,8,32,17,16,37,126,28,0
279,12.3297,1,6,180,84,8,0,49,22,3,10.4158,1,0,7,2,2,5,6,19,17,14,25,40,105,32,4
300,12.4433,0,6,170,110,13,1,21,32,12,6.4967,9,22,20,22,30,21,15,30,38,23,20,17,31,2,0
296,12.3818,2,10,168,105,11,0,18,33,18,6.1318,14,25,20,26,20,27,25,25,37,17,12,19,24,4,1
297,12.303,1,7,198,84,6,1,110,6,0,11.5556,1,1,0,2,1,1,2,5,7,7,11,25,179,53,2
280,12.35,0,6,175,94,5,0,40,29,3,10.2964,0,4,3,6,5,6,9,7,23,12,27,31,113,33,1
305,12.2361,1,13,210,75,6,0,77,20,0,10.7377,3,2,2,3,3,2,6,7,11,19,28,42,150,26,1
310,12.2677,0,9,216,78,7,0,74,38,5,10.0935,1,5,6,5,2,5,8,9,38,16,26,43,127,18,1
307,12.316,0,5,205,92,5,0,79,20,0,11.4495,0,1,2,3,1,2,1,4,10,8,13,29,177,56,0
312,12.2596,0,16,205,85,6,0,101,1,0,11.4231,2,0,0,1,2,1,2,7,4,8,19,48,170,47,1
284,12.3979,0,11,164,94,15,0,60,19,0,10.4225,4,3,3,4,4,2,8,10,13,15,25,45,118,25,5
317,12.2208,0,10,231,72,4,0,74,40,2,10.0662,3,4,2,2,4,11,11,14,27,19,27,51,123,18,1
318,12.2107,0,8,237,71,2,0,72,53,3,10.6258,0,1,2,3,6,2,5,11,20,26,22,46,158,16,0
299,12.3913,0,18,161,106,13,1,37,22,2,9.8161,4,1,5,10,5,10,8,9,21,27,31,48,97,22,1
327,12.4251,0,12,186,107,22,0,31,22,0,10.0887,3,2,1,3,11,8,7,15,22,24,43,57,100,28,3
327,12.3119,6,19,182,107,13,0,22,26,4,6.3761,34,21,24,23,20,9,20,35,24,19,27,32,35,4,0
330,12.1727,1,12,249,65,3,0,141,3,0,11.0212,4,4,2,3,5,0,3,5,13,12,13,25,203,38,0
330,12.3788,0,29,168,112,21,0,40,2,0,9.5273,7,12,10,8,10,6,11,18,14,12,26,54,99,38,5
334,12.3713,0,21,187,107,19,0,11,46,0,10.018,4,3,4,5,5,5,8,22,19,25,39,65,99,31,0
349,12.298,4,18,211,104,10,2,22,36,7,6.1805,33,32,23,23,25,19,22,27,32,21,22,17,47,6,0
345,12.1913,0,4,276,60,5,0,109,57,4,10.9217,0,2,2,5,1,2,4,8,23,16,16,48,197,21,0
334,12.3144,0,4,224,103,3,0,67,30,1,10.521,0,4,4,2,2,4,11,10,24,16,35,53,134,35,0
353,12.1983,0,15,259,73,6,0,123,19,0,11.0453,0,3,1,1,4,3,3,8,8,20,27,57,191,25,2
358,12.2486,0,7,264,78,9,0,111,27,0,10.9749,0,2,2,0,3,4,9,12,10,13,26,59,188,29,1
346,12.2543,0,5,253,83,5,0,164,0,0,11.9884,0,0,0,1,0,0,0,1,1,2,7,26,250,56,2
358,12.2793,1,11,247,85,14,0,74,38,4,10.3547,5,1,3,6,6,5,9,8,27,21,26,64,152,20,5
362,12.5249,1,19,158,158,25,1,25,8,0,9.2486,8,7,9,7,18,11,15,15,24,29,42,65,68,40,4
345,12.2638,0,4,253,81,7,0,166,0,0,11.8928,1,1,0,0,1,0,2,1,4,3,6,16,247,62,1
357,12.2269,1,7,263,82,4,0,105,54,2,11.0,1,4,3,2,3,0,3,9,23,11,17,45,199,36,1
348,12.2759,0,5,250,85,8,0,94,40,0,11.0402,0,3,0,6,3,1,3,10,14,12,26,36,202,32,0
373,12.2493,0,10,267,89,7,0,144,20,0,11.2708,0,2,0,3,2,4,4,3,11,16,24,40,225,38,1
377,12.2334,0,28,245,93,10,1,95,21,0,10.3952,7,6,4,3,6,5,6,18,13,20,28,49,177,32,3
382,12.2199,0,8,291,74,9,0,101,65,7,10.6702,0,2,4,8,0,3,6,9,36,15,26,62,182,27,2
377,12.2228,3,22,248,97,6,1,105,12,0,10.5729,6,3,2,3,5,6,8,15,16,16,30,53,172,40,2
374,12.2727,0,7,264,97,6,0,99,69,4,10.7567,0,6,4,5,3,4,5,3,28,17,25,45,189,39,1
387,12.4238,0,22,200,144,21,0,37,21,2,9.8966,1,4,8,7,7,7,11,19,39,30,49,56,101,45,3
383,12.282,0,5,274,95,9,0,94,50,6,10.7859,3,1,6,3,0,1,7,7,31,19,25,48,201,30,1
393,12.2239,1,17,274,95,6,0,100,49,4,10.4962,3,6,3,3,0,2,13,15,33,16,31,54,184,29,1
391,12.2864,0,13,264,103,11,0,83,45,5,10.5754,0,4,3,1,8,3,3,15,31,25,34,60,174,29,1
389,12.2314,1,11,282,87,8,0,142,16,0,11.4422,2,0,0,1,3,3,5,4,7,10,17,48,240,47,2
407,12.2285,0,9,305,86,5,2,118,16,0,11.43,0,0,0,1,0,1,8,12,7,14,23,45,245,49,2
406,12.2562,0,9,294,93,10,0,126,28,0,11.1921,1,1,2,0,3,4,1,8,14,23,26,59,216,47,1
403,12.3201,0,13,261,118,9,2,80,30,0,10.1811,5,4,2,6,7,5,11,13,28,27,44,75,153,23,0
407,12.2211,1,9,310,73,14,0,100,68,0,11.113,4,0,0,3,4,6,5,3,14,16,28,49,236,36,3
399,12.2381,0,8,294,91,6,0,92,59,5,10.8922,1,1,8,1,3,2,5,4,39,14,21,50,204,44,2
400,12.2775,0,14,267,113,6,0,97,39,0,10.9725,0,3,3,3,5,5,6,9,20,14,24,55,194,58,1
419,12.2387,0,13,299,101,6,0,131,21,0,11.2816,2,0,0,2,4,1,2,8,13,17,29,57,236,46,2
425,12.1929,0,16,319,82,8,0,142,24,0,10.9059,2,2,1,5,5,4,10,10,11,19,28,59,239,30,0
429,12.2517,0,8,312,102,7,0,117,60,5,10.7133,2,4,5,4,4,3,9,9,31,13,30,61,217,36,1
433,12.2102,0,11,325,92,5,0,162,19,0,11.6905,0,1,0,0,2,1,1,5,6,10,17,37,297,56,0
414,12.2778,0,8,289,111,6,0,118,49,4,11.0507,1,0,2,4,3,2,4,9,22,20,32,53,217,43,2
440,12.1727,0,8,349,82,1,0,216,0,0,11.9659,0,0,0,1,0,0,0,0,2,8,8,22,335,64,0
419,12.327,0,6,278,127,8,0,88,48,3,10.7422,1,3,7,3,1,6,6,9,38,12,34,50,198,50,1
456,12.2566,2,22,300,121,11,0,136,8,0,10.3355,6,4,6,5,6,9,7,18,20,31,41,67,209,27,0
454,12.2533,0,3,343,98,10,0,218,0,0,12.0771,0,0,0,1,0,0,0,0,0,1,7,28,334,77,6
464,12.2586,0,13,329,111,11,0,147,38,0,11.0496,1,1,2,3,1,3,7,11,16,23,41,68,250,36,1
450,12.2667,0,12,314,116,8,0,120,51,3,11.0356,2,3,4,2,3,0,6,11,31,17,21,42,253,55,0
462,12.2403,1,10,337,105,9,0,137,50,0,11.1515,1,1,1,1,2,4,5,7,16,26,29,85,241,42,1
448,12.2299,0,10,333,97,8,0,131,55,0,10.8951,3,3,2,3,3,5,6,9,17,24,35,59,250,28,1
475,12.1895,0,9,376,81,9,0,203,40,0,11.1979,3,2,2,1,3,3,2,7,11,22,32,58,299,30,0
467,12.2398,1,10,338,112,6,0,186,12,0,11.5696,0,0,2,1,2,4,2,2,9,15,20,58,282,67,3
458,12.3013,0,12,310,122,14,0,114,42,4,11.0066,3,6,4,2,1,0,6,14,30,8,22,58,240,63,1
474,12.2468,0,12,341,113,8,0,126,35,0,11.3376,1,1,0,1,4,2,5,12,14,15,24,56,282,55,2
440,12.2795,0,6,316,107,11,0,102,58,4,10.9386,0,3,4,1,4,4,7,10,31,18,25,55,229,48,1
473,12.2389,1,15,331,122,4,0,181,1,0,11.5814,3,1,1,1,1,3,3,3,4,11,19,51,304,68,0
483,12.4141,3,32,239,180,29,0,27,31,1,7.6687,17,22,28,24,20,24,36,34,41,54,47,40,74,20,2
481,12.2578,2,22,324,117,15,1,133,11,0,10.8129,3,6,5,4,5,8,6,11,12,23,36,60,250,51,1
481,12.1954,0,13,372,85,11,0,153,56,1,10.5842,0,2,6,8,4,9,7,16,23,25,41,81,239,20,0
476,12.2143,1,15,348,105,7,0,200,0,0,11.7143,2,1,1,0,0,1,5,2,3,8,19,42,321,70,1
487,12.1704,1,15,377,89,4,1,125,64,7,10.3511,9,2,7,6,5,4,12,16,43,20,33,53,256,20,1
488,12.1988,0,21,361,95,10,1,157,27,0,11.3586,3,0,2,1,2,3,6,7,7,18,24,64,299,50,2
488,12.2275,0,9,367,104,8,0,208,17,0,11.7275,0,0,0,1,0,0,4,4,7,9,23,41,339,58,2
489,12.2311,0,10,366,103,10,0,208,8,0,11.9509,0,0,0,1,0,0,1,1,3,5,18,28,347,83,2
494,12.1964,0,12,381,93,8,0,177,29,0,11.2206,0,3,1,1,4,2,7,9,14,19,35,58,300,41,0
496,12.3669,3,36,263,166,27,0,32,33,6,7.2843,27,20,20,18,34,28,48,47,48,42,44,51,56,11,2
504,12.2143,0,21,363,111,9,0,164,30,0,11.1071,0,2,4,3,3,8,7,8,14,25,27,68,282,52,1
442,12.267,1,10,315,104,10,2,153,26,0,11.2489,5,1,3,3,1,4,4,7,9,14,21,43,275,50,2
488,12.2561,0,9,352,120,7,0,192,0,0,12.0799,0,1,0,1,1,0,0,1,1,2,6,19,347,105,4
515,12.1845,0,14,400,94,6,1,151,73,7,11.0291,1,1,8,1,2,5,4,8,34,19,26,71,293,41,1
493,12.2231,0,3,382,103,5,0,213,0,0,12.0649,0,0,0,0,1,0,0,0,3,3,6,18,374,85,3
523,12.2906,1,24,338,143,16,1,55,74,17,7.5468,25,29,22,23,41,19,26,35,69,33,47,39,98,17,0
519,12.2755,1,10,362,137,9,0,125,46,5,10.8324,0,3,5,7,3,4,8,17,26,27,32,82,251,52,2
546,12.2985,0,13,371,148,14,0,58,90,31,7.859,6,20,27,27,43,32,25,39,70,48,35,58,107,9,0
542,12.203,0,16,409,108,9,0,222,13,0,11.4502,4,3,2,2,0,1,4,6,2,16,34,57,351,57,3
540,12.2556,0,18,378,132,12,0,221,3,0,11.7037,3,0,0,0,1,2,3,4,5,14,21,54,344,84,5
